Disturbance,Date/Range,Category,Impact Summary
Cattle cycle contraction,1965-1975,Market cycle,"Long downturn driven by feed volatility and drought; herd liquidation."
Vietnam War demand shifts,1965-1973,Geopolitical,"Military procurement altered domestic beef availability and pricing."
Oil crisis & feed price shock,1973-1975,Energy shock,"Energy spike raised fertilizer/feed costs; slowed herd expansion."
1973–75 recession,1973-1975,Macroeconomic,"Consumer demand weakened; beef consumption declined relative to poultry."
Great Plains drought,1980-1982,Climate,"Pasture losses forced herd liquidation; feedlot margins worsened."
1980–82 recession,1980-1982,Macroeconomic,"High unemployment reduced beef demand; price volatility increased."
Beef import restrictions,1986,Policy,"Import limits created price volatility in domestic markets."
1988 drought,1988,Climate,"Severe drought reduced forage; accelerated culling."
Feed grain price spike,1996,Input cost shock,"Corn/soymeal shortages raised feeding costs; reduced profitability."
Asian financial crisis,1997-1998,Macroeconomic,"Reduced export demand from key Asian markets."
9/11 & economic shock,2001,Macroeconomic,"Short-term restaurant demand decline; supply chain uncertainty."
First U.S. BSE case,2003-12-23,Animal health,"Export bans from Japan/S. Korea; U.S. beef exports fell >80%."
Iraq War commodity volatility,2003-2011,Geopolitical,"Energy price volatility increased feed and transport costs."
Biofuel-driven feed surge,2006-2008,Input cost shock,"Corn diverted to ethanol; feed prices spiked; herd contraction accelerated."
Great Recession,2007-2009,Macroeconomic,"Consumer shift to cheaper proteins; restaurant beef demand fell."
Historic multi-year drought,2011-2014,Climate,"Severe pasture loss; cattle inventory fell to multi-decade lows."
U.S.–China trade tensions,2018-2019,Trade conflict,"Tariffs disrupted beef export growth; price uncertainty increased."
Herd rebuilding phase,2015,Market cycle,"Producers retained heifers; start of new expansion cycle."
COVID-19 supply chain disruption,2020-03 to 2020-08,Pandemic,"Plant closures; slaughter backlog; retail prices up, rancher prices down."
Global logistics crisis,2021-2022,Supply chain,"Container shortages and port congestion slowed beef exports."
Persistent drought & low inventory,2021-2023,Climate,"Forced liquidation of cows; U.S. herd reached 74-year low by 2025."
Inflation & input cost shock,2022-2024,Input cost shock,"Record-high feed, fuel, fertilizer, labor costs; profitability pressure."
Russia–Ukraine war commodity shock,2022-present,Geopolitical,"Energy and fertilizer price spikes increased production costs."
Industry consolidation (structural),1960s-present,Structural,"Four packers control ~80-85% of processing; amplifies shocks."
Cattle cycle fluctuations (structural),1960s-present,Market cycle,"Repeated expansion/contraction cycles driven by climate and feed costs."